Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Industries,Organization Location,Organization Revenue Range,Number of Funding Rounds,Funding Status
Seed Round - DCEX,https://www.crunchbase.com/funding_round/dcex-seed--8e19e53c,DCEX,https://www.crunchbase.com/organization/dcex,Seed,1000000,USD,1000000,2018-08-07,"Blockchain, Cryptocurrency, Financial Services, Internet","San Francisco, California, United States, North America",,4,Early Stage Venture
Series B - Credence MedSystems,https://www.crunchbase.com/funding_round/credence-medsystems-series-b--a52180e3,Credence MedSystems,https://www.crunchbase.com/organization/credence-medsystems,Series B,12800000,USD,12800000,2018-08-07,"Biopharma, Biotechnology, Health Care, Pharmaceutical","Menlo Park, California, United States, North America",$10M to $50M,3,Early Stage Venture
Series A - Vir Biotechnology,https://www.crunchbase.com/funding_round/vir-biotechnology-series-a--8b1993a9,Vir Biotechnology,https://www.crunchbase.com/organization/vir-biotechnology,Series A,66000000,USD,66000000,2018-08-07,"Biopharma, Biotechnology, Health Care, Medical","San Francisco, California, United States, North America",$1M to $10M,4,IPO
Series A - Kodiak Robotics,https://www.crunchbase.com/funding_round/kodiak-robotics-inc-series-a--457c7e17,Kodiak Robotics,https://www.crunchbase.com/organization/kodiak-robotics-inc,Series A,40000000,USD,40000000,2018-08-07,"Autonomous Vehicles, Information Technology, Logistics, Robotics, Software","Mountain View, California, United States, North America",Less than $1M,1,Early Stage Venture
Series B - RiskSense,https://www.crunchbase.com/funding_round/risksense-series-b--68d41927,RiskSense,https://www.crunchbase.com/organization/risksense,Series B,12000000,USD,12000000,2018-08-07,"Cyber Security, Information Technology, Network Security, Risk Management, Security, Software","Sunnyvale, California, United States, North America",$1M to $10M,3,Early Stage Venture
Series B - Apexigen,https://www.crunchbase.com/funding_round/apexigen-series-b--aba6e22c,Apexigen,https://www.crunchbase.com/organization/apexigen,Series B,15000000,USD,15000000,2018-08-08,"Biopharma, Biotechnology, Health Care, Pharmaceutical","Burlingame, California, United States, North America",$1M to $10M,4,Late Stage Venture
Seed Round - DNALite Therapeutics,https://www.crunchbase.com/funding_round/dnalite-therapeutics-seed--4f3e9476,DNALite Therapeutics,https://www.crunchbase.com/organization/dnalite-therapeutics,Seed,1500000,USD,1500000,2018-08-08,"Biotechnology, Genetics, Health Care","San Francisco, California, United States, North America",$1M to $10M,3,Seed
Series C - Apexigen,https://www.crunchbase.com/funding_round/apexigen-series-c--5a85c399,Apexigen,https://www.crunchbase.com/organization/apexigen,Series C,58000000,USD,58000000,2018-08-08,"Biopharma, Biotechnology, Health Care, Pharmaceutical","Burlingame, California, United States, North America",$1M to $10M,4,Late Stage Venture
Post-IPO Equity - Tandem Diabetes Care,https://www.crunchbase.com/funding_round/tandem-diabetes-care-post-ipo-equity--226f6597,Tandem Diabetes Care,https://www.crunchbase.com/organization/tandem-diabetes-care,Post-IPO Equity,115000000,USD,115000000,2018-08-08,"Apps, Biotechnology, Diabetes, Health Care, Medical Device","San Diego, California, United States, North America",$50M to $100M,8,IPO
Pre Seed Round - Profillic,https://www.crunchbase.com/funding_round/profilic-pre-seed--ad676c6e,Profillic,https://www.crunchbase.com/organization/profilic,Pre-Seed,,,,2018-08-08,"Artificial Intelligence, Developer Tools, Information Technology, Intelligent Systems, Internet, Machine Learning, Productivity Tools, Software","San Francisco, California, United States, North America",Less than $1M,2,Seed
