Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Industries,Organization Location,Organization Revenue Range,Number of Funding Rounds,Funding Status
Venture Round - IfOnly,https://www.crunchbase.com/funding_round/ifonly-series-unknown--ba2d3568,IfOnly,https://www.crunchbase.com/organization/ifonly,Venture - Series Unknown,6124474,USD,6124474,2017-07-14,"E-Commerce, Marketplace, Retail, Retail Technology","San Francisco, California, United States, North America",$1M to $10M,8,Late Stage Venture
Seed Round - Splash Tea,https://www.crunchbase.com/funding_round/splash-tea-seed--6ae72d68,Splash Tea,https://www.crunchbase.com/organization/splash-tea,Seed,,,,2018-03-01,"E-Commerce, Food and Beverage, Hospitality, Travel","Concord, California, United States, North America",,1,Seed
"Convertible Note - Pundit, Inc.",https://www.crunchbase.com/funding_round/grafiti-app-convertible-note--4845c977,"Pundit, Inc.",https://www.crunchbase.com/organization/grafiti-app,Convertible Note,,,,2018-01-01,"Apps, Art, Communities, Content, Digital Entertainment, E-Commerce, Marketplace, Media and Entertainment, Messaging, Social Media","Los Angeles, California, United States, North America",$1M to $10M,4,Seed
Seed Round - Ettitude,https://www.crunchbase.com/funding_round/ettitude-seed--f971fc49,Ettitude,https://www.crunchbase.com/organization/ettitude,Seed,100000,USD,100000,2018-06-11,"E-Commerce, GreenTech, Organic","Los Angeles, California, United States, North America",Less than $1M,1,Seed
Series B - PropelPLM,https://www.crunchbase.com/funding_round/propelplm-inc-series-b--9315a94f,PropelPLM,https://www.crunchbase.com/organization/propelplm-inc,Series B,18000000,USD,18000000,2018-11-15,"Cloud Infrastructure, E-Commerce, Enterprise Software, SaaS, Software","Santa Clara, California, United States, North America",Less than $1M,3,Early Stage Venture
Series A - GearLaunch,https://www.crunchbase.com/funding_round/gearlaunch-series-a--627d1ebb,GearLaunch,https://www.crunchbase.com/organization/gearlaunch,Series A,4800000,USD,4800000,2017-07-26,"E-Commerce, E-Commerce Platforms, Fashion, Personalization, Printing, Retail, Social Shopping","San Francisco, California, United States, North America",Less than $1M,1,Early Stage Venture
Seed Round - Inokyo,https://www.crunchbase.com/funding_round/inokyo-seed--2819e616,Inokyo,https://www.crunchbase.com/organization/inokyo,Seed,,,,2018-08-16,"E-Commerce, Retail, Retail Technology, Shopping","Mountain View, California, United States, North America",,1,Seed
Seed Round - Allume,https://www.crunchbase.com/funding_round/allume-seed--3450da51,Allume,https://www.crunchbase.com/organization/allume,Seed,3000000,USD,3000000,2017-10-11,"E-Commerce, Fashion, Retail, Shopping","Menlo Park, California, United States, North America",Less than $1M,3,Early Stage Venture
Debt Financing - HDS Global,https://www.crunchbase.com/funding_round/home-delivery-services-debt-financing--e74fcd93,HDS Global,https://www.crunchbase.com/organization/home-delivery-services,Debt Financing,13000000,USD,13000000,2017-08-07,"E-Commerce, Industrial Automation, Internet, Retail, Robotics","Palo Alto, California, United States, North America",$1M to $10M,2,Seed
Series A - DAILYLOOK,https://www.crunchbase.com/funding_round/dailylook-series-a--d7c77425,DAILYLOOK,https://www.crunchbase.com/organization/dailylook,Series A,8000000,USD,8000000,2018-09-01,"E-Commerce, Fashion, Retail, Shopping","Los Angeles, California, United States, North America",Less than $1M,2,Early Stage Venture
Series A - Dote Shopping,https://www.crunchbase.com/funding_round/dote-shopping-series-a--5a8fce2b,Dote Shopping,https://www.crunchbase.com/organization/dote-shopping,Series A,7200000,USD,7200000,2017-07-20,"E-Commerce, Internet, Retail, Shopping","San Francisco, California, United States, North America",Less than $1M,4,Early Stage Venture
Series B - Brandless,https://www.crunchbase.com/funding_round/brandless-series-b--c94a7f5b,Brandless,https://www.crunchbase.com/organization/brandless,Series B,35000000,USD,35000000,2017-07-17,"Commercial, Consumer Goods, E-Commerce, Retail","San Francisco, California, United States, North America",$100M to $500M,4,Late Stage Venture
Seed Round - Chihuo Inc,https://www.crunchbase.com/funding_round/chihuo-inc-seed--45fd26d6,Chihuo Inc,https://www.crunchbase.com/organization/chihuo-inc,Seed,1000000,USD,1000000,2018-06-08,"Advertising, Consulting, E-Commerce, Food and Beverage, Internet","Los Angeles, California, United States, North America",,1,Seed
Seed Round - For Days,https://www.crunchbase.com/funding_round/for-days-seed--1e23b389,For Days,https://www.crunchbase.com/organization/for-days,Seed,2800000,USD,2800000,2018-11-13,"E-Commerce, Fashion, Manufacturing","Los Angeles, California, United States, North America",,4,Seed
