Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Post-IPO Equity - GI Dynamics,https://www.crunchbase.com/funding_round/gi-dynamics-post-ipo-equity--cd844b1e,GI Dynamics,https://www.crunchbase.com/organization/gi-dynamics,Post-IPO Equity,2050000,AUD,1641573,2018-01-22
Private Equity Round - Advance Medical,https://www.crunchbase.com/funding_round/advance-medical-inc-private-equity--e96d103b,Advance Medical,https://www.crunchbase.com/organization/advance-medical-inc,Private Equity,,,,2018-01-22
Pre Seed Round - BRIO Systems,https://www.crunchbase.com/funding_round/brio-systems-pre-seed--333a5c21,BRIO Systems,https://www.crunchbase.com/organization/brio-systems,Pre-Seed,120000,USD,120000,2018-01-22
Post-IPO Equity - InVivo Therapeutics,https://www.crunchbase.com/funding_round/invivo-therapeutics-post-ipo-equity--bd87e55b,InVivo Therapeutics,https://www.crunchbase.com/organization/invivo-therapeutics,Post-IPO Equity,15200000,USD,15200000,2018-01-26
Convertible Note - Filtered,https://www.crunchbase.com/funding_round/filtered-2-convertible-note--23de04a5,Filtered,https://www.crunchbase.com/organization/filtered-2,Convertible Note,100000,USD,100000,2018-01-26
Post-IPO Equity - Ocular Therapeutix,https://www.crunchbase.com/funding_round/ocular-therapeutix-post-ipo-equity--e36e2ff9,Ocular Therapeutix,https://www.crunchbase.com/organization/ocular-therapeutix,Post-IPO Equity,35100000,USD,35100000,2018-01-30
Venture Round - InfiniteMD,https://www.crunchbase.com/funding_round/infinitemd-series-unknown--17605d7e,InfiniteMD,https://www.crunchbase.com/organization/infinitemd,Venture - Series Unknown,1500000,USD,1500000,2018-01-30
Convertible Note - Powerhouse Dynamics,https://www.crunchbase.com/funding_round/powerhouse-dynamics-convertible-note--e02be88e,Powerhouse Dynamics,https://www.crunchbase.com/organization/powerhouse-dynamics,Convertible Note,,,,2018-01-30
Venture Round - TakeOff,https://www.crunchbase.com/funding_round/takeoff-technologies-series-unknown--78c82e26,TakeOff,https://www.crunchbase.com/organization/takeoff-technologies,Venture - Series Unknown,12500000,USD,12500000,2018-01-31
Grant - UrSure,https://www.crunchbase.com/funding_round/ursure-grant--12b71d2e,UrSure,https://www.crunchbase.com/organization/ursure,Grant,1500000,USD,1500000,2018-02-01
