Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Simplify Medical,https://www.crunchbase.com/funding_round/simplify-medical-series-b--bcebbc46,Simplify Medical,https://www.crunchbase.com/organization/simplify-medical,Series B,21000000,USD,21000000,2017-07-19
Seed Round - ScaleFT,https://www.crunchbase.com/funding_round/scaleft-seed--124e3bfc,ScaleFT,https://www.crunchbase.com/organization/scaleft,Seed,2000000,USD,2000000,2017-07-19
Seed Round - eatOS by POSLABS,https://www.crunchbase.com/funding_round/poslabs-inc-seed--6a1e0e30,eatOS by POSLABS,https://www.crunchbase.com/organization/poslabs-inc,Seed,50000,USD,50000,2017-07-19
Series D - Acorns,https://www.crunchbase.com/funding_round/acorns-grow-series-d--9647f57f,Acorns,https://www.crunchbase.com/organization/acorns-grow,Series D,35000000,USD,35000000,2017-07-20
Series A - Insight Engines,https://www.crunchbase.com/funding_round/insight-engines-inc-series-a--2c0b8d95,Insight Engines,https://www.crunchbase.com/organization/insight-engines-inc,Series A,15800000,USD,15800000,2017-07-20
Post-IPO Debt - Imprimis Pharmaceuticals,https://www.crunchbase.com/funding_round/imprimis-pharmaceuticals-post-ipo-debt--96c2626c,Imprimis Pharmaceuticals,https://www.crunchbase.com/organization/imprimis-pharmaceuticals,Post-IPO Debt,16000000,USD,16000000,2017-07-20
Seed Round - CapitalPro,https://www.crunchbase.com/funding_round/capitalpro-seed--eb6fe7e5,CapitalPro,https://www.crunchbase.com/organization/capitalpro,Seed,25000,USD,25000,2017-07-20
Series A - NeuroVia,https://www.crunchbase.com/funding_round/neurovia-series-a--0cc69746,NeuroVia,https://www.crunchbase.com/organization/neurovia,Series A,14000000,USD,14000000,2017-07-20
Series B - Rakuten Medical,https://www.crunchbase.com/funding_round/aspyrian-therapeutics-series-b--debe127e,Rakuten Medical,https://www.crunchbase.com/organization/aspyrian-therapeutics,Series B,15100000,USD,15100000,2017-07-20
"Funding Round - DealVector, Inc.",https://www.crunchbase.com/funding_round/dealvector-inc-undisclosed--3054a1d4,"DealVector, Inc.",https://www.crunchbase.com/organization/dealvector-inc,Funding Round,,,,2017-07-20
Venture Round - Eyes4Lives,https://www.crunchbase.com/funding_round/eyes4lives-series-unknown--78dd2981,Eyes4Lives,https://www.crunchbase.com/organization/eyes4lives,Venture - Series Unknown,2774000,USD,2774000,2017-07-21
Private Equity Round - Escape Technology,https://www.crunchbase.com/funding_round/escape-technology-private-equity--c65706eb,Escape Technology,https://www.crunchbase.com/organization/escape-technology,Private Equity,,,,2017-07-21
Venture Round - Nanomed,https://www.crunchbase.com/funding_round/nanomedical-diagnostics-series-unknown--06d4705b,Nanomed,https://www.crunchbase.com/organization/nanomedical-diagnostics,Venture - Series Unknown,,,,2017-07-21
Seed Round - CrowdForce,https://www.crunchbase.com/funding_round/mobile-forms-seed--3ad11e33,CrowdForce,https://www.crunchbase.com/organization/mobile-forms,Seed,150000,USD,150000,2017-07-24
Series A - Hinge Health,https://www.crunchbase.com/funding_round/hinge-health-series-a--d66ad2fe,Hinge Health,https://www.crunchbase.com/organization/hinge-health,Series A,8300000,USD,8300000,2017-07-24
Series C - Effector Therapeutics,https://www.crunchbase.com/funding_round/effector-therapeutics-series-c--ff178f54,Effector Therapeutics,https://www.crunchbase.com/organization/effector-therapeutics,Series C,38600000,USD,38600000,2017-07-24
Series A - Node,https://www.crunchbase.com/funding_round/node-series-a--19550363,Node,https://www.crunchbase.com/organization/node,Series A,10800000,USD,10800000,2017-07-25
Series B - Okami Medical,https://www.crunchbase.com/funding_round/okami-medical-series-b--47efa468,Okami Medical,https://www.crunchbase.com/organization/okami-medical,Series B,4500000,USD,4500000,2017-07-25
Debt Financing - Dividend Finance,https://www.crunchbase.com/funding_round/dividend-solar-debt-financing--ac711b74,Dividend Finance,https://www.crunchbase.com/organization/dividend-solar,Debt Financing,100000000,USD,100000000,2017-07-25
Seed Round - Tueo Health,https://www.crunchbase.com/funding_round/tueo-health-seed--8e98c19a,Tueo Health,https://www.crunchbase.com/organization/tueo-health,Seed,1100000,USD,1100000,2017-07-25
Private Equity Round - Allworth Financial,https://www.crunchbase.com/funding_round/hanson-mcclain-private-equity--e3150ddf,Allworth Financial,https://www.crunchbase.com/organization/hanson-mcclain,Private Equity,,,,2017-07-26
Post-IPO Debt - Titan Pharmaceuticals,https://www.crunchbase.com/funding_round/titan-pharmaceuticals-post-ipo-debt--399485ad,Titan Pharmaceuticals,https://www.crunchbase.com/organization/titan-pharmaceuticals,Post-IPO Debt,10000000,USD,10000000,2017-07-27
Seed Round - NetObjex,https://www.crunchbase.com/funding_round/netobjex-seed--d4df6596,NetObjex,https://www.crunchbase.com/organization/netobjex,Seed,250000,USD,250000,2017-07-27
Venture Round - Big Switch Networks,https://www.crunchbase.com/funding_round/big-switch-networks-series-unknown--2c7bcd1b,Big Switch Networks,https://www.crunchbase.com/organization/big-switch-networks,Venture - Series Unknown,30700000,USD,30700000,2017-07-27
Seed Round - SPIDR Tech,https://www.crunchbase.com/funding_round/spidr-2-seed--950c05db,SPIDR Tech,https://www.crunchbase.com/organization/spidr-2,Seed,,,,2017-07-28
Post-IPO Equity - InterMetro Communications,https://www.crunchbase.com/funding_round/intermetro-communications-post-ipo-equity--48862e1c,InterMetro Communications,https://www.crunchbase.com/organization/intermetro-communications,Post-IPO Equity,2056726,USD,2056726,2017-07-28
Equity Crowdfunding - N-Gen Technologies Inc.,https://www.crunchbase.com/funding_round/n-gen-technologies-inc-equity-crowdfunding--cb4334fc,N-Gen Technologies Inc.,https://www.crunchbase.com/organization/n-gen-technologies-inc,Equity Crowdfunding,,,,2017-07-28
"Non Equity Assistance - MemComputing, Inc.",https://www.crunchbase.com/funding_round/memcomputing-inc-non-equity-assistance--24a89373,"MemComputing, Inc.",https://www.crunchbase.com/organization/memcomputing-inc,Non-equity Assistance,,,,2017-07-31
Venture Round - LIM Innovations,https://www.crunchbase.com/funding_round/lim-innovations-series-unknown--d99e0f8c,LIM Innovations,https://www.crunchbase.com/organization/lim-innovations,Venture - Series Unknown,7927487,USD,7927487,2017-07-31
Private Equity Round - ETC Global Group,https://www.crunchbase.com/funding_round/etc-global-group-private-equity--581ed389,ETC Global Group,https://www.crunchbase.com/organization/etc-global-group,Private Equity,,,,2017-07-31
Debt Financing - SaleStream,https://www.crunchbase.com/funding_round/salestream-debt-financing--85543db8,SaleStream,https://www.crunchbase.com/organization/salestream,Debt Financing,500000,USD,500000,2017-07-31
Seed Round - Foxsy,https://www.crunchbase.com/funding_round/foxsy-seed--5a0bb870,Foxsy,https://www.crunchbase.com/organization/foxsy,Seed,,,,2017-07-31
Series A - Lattice,https://www.crunchbase.com/funding_round/lattice-2-series-a--b9a4f624,Lattice,https://www.crunchbase.com/organization/lattice-2,Series A,6400000,USD,6400000,2017-07-31
Venture Round - UpHonest Capital,https://www.crunchbase.com/funding_round/uphonest-capital-series-unknown--07162875,UpHonest Capital,https://www.crunchbase.com/organization/uphonest-capital,Venture - Series Unknown,30000000,USD,30000000,2017-07-31
Seed Round - Xpresso,https://www.crunchbase.com/funding_round/xpresso-2-seed--07e79a79,Xpresso,https://www.crunchbase.com/organization/xpresso-2,Seed,,,,2017-07-31
Angel Round - Water Pigeon Inc,https://www.crunchbase.com/funding_round/water-pigeon-inc-angel--c35f7bc5,Water Pigeon Inc,https://www.crunchbase.com/organization/water-pigeon-inc,Angel,830000,USD,830000,2017-07-31
Seed Round - Marax AI,https://www.crunchbase.com/funding_round/marax-ai-seed--de4ed493,Marax AI,https://www.crunchbase.com/organization/marax-ai,Seed,,,,2017-07-31
